expr,time
mean(x),278221
skew4(x),9149603
sd(x),601742
sum(x),88302
mean(x),175512
sum(x),82497
skew4(x),8778244
mean(x),168932
sum(x),82248
skew4(x),8610302
kurt5(x),15410475
kurtosis(x),8337388
sum(x),80247
skew4(x),8594461
dumbk(x),17345429
sum(x),80038
skew4(x),8550788
skewness(x),8370911
sd3(x),879591
kurtosis(x),8160627
sd(x),475829
mean(x),164256
kurt5(x),15666978
sum(x),80887
skewness(x),8442699
sd(x),476981
mean(x),164571
sd3(x),882391
skewness(x),8354875
kurtosis(x),8137297
mean(x),163838
sum(x),79885
kurtosis(x),8120570
mean(x),163348
sum(x),79812
sd(x),526330
kurt5(x),16151860
skew4(x),9025621
skew4(x),8772538
skew4(x),8787163
kurtosis(x),8400681
sum(x),80041
sd3(x),855828
sd3(x),848069
sum(x),79853
skewness(x),10093104
mean(x),164687
sum(x),79751
sd3(x),859535
dumbk(x),17110165
sum(x),79891
sd(x),460371
sd(x),463048
kurtosis(x),8316180
dumbk(x),17859127
sum(x),80087
sum(x),79772
skewness(x),8376499
sum(x),79892
sd(x),467095
sum(x),79829
sd(x),495669
sum(x),80012
kurt5(x),15922389
skew4(x),8620049
skew4(x),8558724
kurt5(x),15807277
mean(x),180136
sum(x),81095
sd(x),479235
sd(x),459082
dumbk(x),17210684
kurt5(x),15498773
kurt5(x),15492242
skew4(x),8567481
sd(x),465990
dumbk(x),18782931
sum(x),80370
sd(x),461259
sum(x),79723
dumbk(x),17063098
kurtosis(x),8117430
kurt5(x),15414261
sd(x),470224
sd3(x),851114
mean(x),165246
dumbk(x),17346971
sd(x),460570
skewness(x),8358113
sum(x),80112
sum(x),79743
skew4(x),8566090
kurtosis(x),8127812
kurt5(x),15447396
dumbk(x),17237822
sum(x),79953
dumbk(x),18702666
dumbk(x),17186701
kurt5(x),15448583
sum(x),80504
sd3(x),851474
kurt5(x),15372561
mean(x),164258
skew4(x),8560774
sd(x),463514
sd3(x),849528
kurt5(x),15383554
sum(x),80174
kurt5(x),15431873
dumbk(x),17187958
kurtosis(x),8232940
skew4(x),8615931
skewness(x),8343706
skewness(x),8338123
sd3(x),859926
skewness(x),8470003
dumbk(x),18860709
