expr,time
mean(x),310148
skew4(x),10532649
sd(x),643526
sum(x),95227
mean(x),191231
sum(x),92067
skew4(x),10893647
mean(x),192496
sum(x),81794
skew4(x),8977736
kurt5(x),16270890
kurtosis(x),8851355
sum(x),80501
skew4(x),8959138
dumbk(x),17537783
sum(x),80473
skew4(x),9074443
skewness(x),8525679
sd3(x),1506534
kurtosis(x),8137040
sd(x),483583
mean(x),164618
kurt5(x),16195013
sum(x),82231
skewness(x),8592136
sd(x),476609
mean(x),165599
sd3(x),1475631
skewness(x),8486697
kurtosis(x),8513066
mean(x),166598
sum(x),79870
kurtosis(x),9940984
mean(x),180352
sum(x),87109
sd(x),540370
kurt5(x),16416960
skew4(x),9273315
skew4(x),9204868
skew4(x),8998524
kurtosis(x),8469881
sum(x),80563
sd3(x),1481652
sd3(x),1462403
sum(x),80008
skewness(x),10066492
mean(x),167693
sum(x),79848
sd3(x),1570179
dumbk(x),17575811
sum(x),80253
sd(x),460844
sd(x),464984
kurtosis(x),8385706
dumbk(x),17431584
sum(x),80586
sum(x),79749
skewness(x),8753330
sum(x),87592
sd(x),521426
sum(x),86720
sd(x),511433
sum(x),86664
kurt5(x),17303739
skew4(x),9128077
skew4(x),9243818
kurt5(x),16240382
mean(x),175912
sum(x),80685
sd(x),470784
sd(x),459289
dumbk(x),17330061
kurt5(x),16066228
kurt5(x),16042090
skew4(x),8918132
sd(x),551556
dumbk(x),19143005
sum(x),80195
sd(x),460669
sum(x),84650
dumbk(x),17273491
kurtosis(x),8127804
kurt5(x),16187972
sd(x),484348
sd3(x),1469543
mean(x),169824
dumbk(x),17311337
sd(x),460871
skewness(x),8667313
sum(x),80125
sum(x),79786
skew4(x),8876625
kurtosis(x),8381127
kurt5(x),16069827
dumbk(x),17377988
sum(x),80230
dumbk(x),19285903
dumbk(x),17330667
kurt5(x),16087473
sum(x),81357
sd3(x),1491562
kurt5(x),16061854
mean(x),171623
skew4(x),9396582
sd(x),544927
sd3(x),1604274
kurt5(x),16725277
sum(x),99188
kurt5(x),16206108
dumbk(x),18415481
kurtosis(x),8245002
skew4(x),9360204
skewness(x),8561073
skewness(x),8391946
sd3(x),1502644
skewness(x),8633146
dumbk(x),19167021
mean(x),162774
skew4(x),8955830
sd3(x),1470246
sd(x),487120
sd3(x),1691239
