expr,time
sd3(x),1174838
kurt5(x),8016676
mean(x),308228
sum(x),87279
skewness(x),4021841
sum(x),83649
dumbk(x),8370028
kurt5(x),8272801
skewness(x),4029674
mean(x),194034
skewness(x),3766632
kurt5(x),7698296
sum(x),88156
sum(x),82075
sd(x),369227
skewness(x),4344338
sd(x),338103
skewness(x),3799084
sd3(x),1049129
kurt5(x),7477341
mean(x),172014
mean(x),166849
sd3(x),1114762
dumbk(x),16544692
sd(x),331444
dumbk(x),8278303
sd(x),341484
sum(x),80393
sd(x),306972
dumbk(x),8156450
kurtosis(x),3808244
mean(x),164117
kurtosis(x),3843810
skewness(x),3766966
sum(x),81023
sd(x),323660
sum(x),79966
skewness(x),3843619
kurtosis(x),3764160
mean(x),164160
sd3(x),1068412
kurtosis(x),3789557
mean(x),163769
kurt5(x),7437605
mean(x),185281
skewness(x),3811694
kurt5(x),8154244
sd3(x),1133555
dumbk(x),8212034
sd3(x),1131028
mean(x),232062
kurt5(x),8957249
mean(x),191071
kurt5(x),7494341
skew4(x),6612748
sd3(x),1052380
skewness(x),3771756
dumbk(x),8168738
sd3(x),1039947
sd(x),309902
kurt5(x),8063415
skew4(x),6448402
sd3(x),1034756
kurtosis(x),5406016
skew4(x),7183358
sum(x),87003
kurt5(x),7734885
mean(x),174915
skew4(x),6646316
sd3(x),1034235
mean(x),164906
kurt5(x),8165985
kurtosis(x),3992773
sd3(x),1067846
skew4(x),6573146
kurtosis(x),3818435
sd3(x),1043828
skewness(x),3869409
dumbk(x),8171765
kurt5(x),8127580
sd3(x),1043874
dumbk(x),8162712
skewness(x),3814758
sd(x),316668
sum(x),80510
kurtosis(x),3845842
kurtosis(x),3765529
dumbk(x),8054717
sum(x),80826
kurtosis(x),4155874
dumbk(x),8183054
skew4(x),6466823
kurt5(x),7315908
skewness(x),3748054
skew4(x),6481654
skewness(x),3766481
mean(x),164256
sd(x),327389
sd3(x),1019970
sd3(x),1076009
skew4(x),6735383
dumbk(x),8202698
kurt5(x),7486541
dumbk(x),8051929
dumbk(x),8137930
sd3(x),1065076
kurt5(x),8050499
sd3(x),1036363
kurt5(x),7496283
kurt5(x),8165882
sd(x),604258
mean(x),205976
dumbk(x),8687111
skewness(x),3964670
kurt5(x),7634089
sd3(x),1032631
skewness(x),3792692
sum(x),80577
sum(x),79773
kurtosis(x),3879673
sd3(x),1059651
skew4(x),6536526
mean(x),165073
kurt5(x),7428553
sd(x),369375
sd3(x),1069667
dumbk(x),8291977
dumbk(x),11405898
skewness(x),4649231
dumbk(x),8464842
sd(x),345615
sd(x),307208
dumbk(x),8251648
dumbk(x),8321368
skewness(x),3764330
skewness(x),4288744
kurtosis(x),3798535
skewness(x),3932042
sum(x),86852
mean(x),169236
sd3(x),1054324
sum(x),82347
sd(x),339033
skew4(x),6586467
sum(x),80135
skewness(x),3797932
kurtosis(x),3772844
skew4(x),6577084
sd(x),321487
sum(x),80138
sum(x),104606
kurt5(x),7473750
dumbk(x),8079599
sd(x),307633
kurt5(x),7545789
sd(x),328602
kurtosis(x),3770452
kurtosis(x),3852567
mean(x),164195
kurtosis(x),3790698
kurt5(x),7477294
skewness(x),3838162
dumbk(x),8294207
dumbk(x),8327067
skew4(x),6763311
sd3(x),1072414
skew4(x),6706229
dumbk(x),8363920
skewness(x),3932589
mean(x),169103
mean(x),167031
mean(x),166180
kurtosis(x),3983520
skewness(x),3899793
sum(x),82631
sd3(x),1151411
dumbk(x),8333813
sd3(x),1052064
sd(x),309592
sum(x),80492
sd(x),319422
sd3(x),1254746
sd3(x),1051137
kurt5(x),7754353
kurtosis(x),6504974
skew4(x),8343807
sum(x),288919
mean(x),355456
skew4(x),7346889
sd3(x),1117533
dumbk(x),8398389
sd(x),309112
sum(x),80657
sum(x),79809
mean(x),163017
kurt5(x),7764537
dumbk(x),8268772
sd3(x),1044770
kurt5(x),7619712
sd(x),309402
kurt5(x),7511243
dumbk(x),8080857
sum(x),80683
skewness(x),3849844
skew4(x),6642087
sd3(x),1100674
skewness(x),3844347
skew4(x),6639567
sum(x),80531
sd(x),356012
sd3(x),1040688
sum(x),80167
kurt5(x),7552672
mean(x),165649
skew4(x),6614110
sd3(x),1010615
kurt5(x),7448135
sd3(x),1012608
sum(x),80464
sd(x),312160
skewness(x),3726432
mean(x),163885
sum(x),105782
kurt5(x),7327057
skew4(x),6421559
sum(x),80049
kurtosis(x),3756217
skew4(x),6449438
sum(x),80349
kurtosis(x),3687039
dumbk(x),7981172
kurt5(x),7328704
mean(x),164020
kurtosis(x),3732753
skew4(x),6442099
dumbk(x),7930001
sd(x),311102
skewness(x),3752565
sum(x),80307
sum(x),82484
mean(x),163346
sd3(x),1020832
kurt5(x),8169357
sd3(x),1039563
skewness(x),3815807
sum(x),81083
dumbk(x),8167723
sd(x),349148
sd3(x),1152199
skewness(x),4385123
kurtosis(x),5246644
kurtosis(x),4896716
skewness(x),3898100
dumbk(x),8183341
mean(x),167788
sd3(x),1040810
dumbk(x),8180877
skew4(x),6602098
kurt5(x),7460183
skewness(x),3793608
skewness(x),3788257
sum(x),80470
mean(x),163721
kurt5(x),8260821
dumbk(x),8237372
sum(x),80938
mean(x),163178
dumbk(x),8335375
sd3(x),1058216
sum(x),90227
skewness(x),3791290
sd3(x),1034862
kurtosis(x),3788189
kurt5(x),7641112
dumbk(x),8164201
kurtosis(x),4356149
mean(x),188097
kurt5(x),7620395
mean(x),165707
kurt5(x),8073424
kurtosis(x),4030209
kurt5(x),7580101
kurtosis(x),3976567
mean(x),169993
skewness(x),4711674
kurtosis(x),4253561
sd3(x),1047708
dumbk(x),8213339
sum(x),84178
dumbk(x),8267577
sd(x),316978
dumbk(x),8588939
sd3(x),1074136
skew4(x),6734137
sum(x),106695
mean(x),171000
skew4(x),6716355
kurt5(x),7664984
sum(x),103920
sd3(x),1059326
skewness(x),4769412
sd(x),482792
skew4(x),8902117
sum(x),396816
mean(x),356092
kurtosis(x),4516032
kurtosis(x),4190164
kurtosis(x),4131814
sd3(x),1112936
mean(x),190789
sd(x),396226
mean(x),170717
skew4(x),6878110
mean(x),201038
skewness(x),4035113
dumbk(x),8591775
skewness(x),4511136
sum(x),86009
sd3(x),1090683
sum(x),90122
kurt5(x),7937642
sum(x),102870
skew4(x),9097652
skewness(x),6153523
skewness(x),4964221
mean(x),197129
sum(x),99449
mean(x),170787
skew4(x),10520509
sd(x),754649
mean(x),234358
skewness(x),6166601
kurtosis(x),6141943
skew4(x),9753690
sd(x),464820
mean(x),189734
sum(x),105732
sum(x),126408
sd3(x),1143488
sd(x),434108
sum(x),115947
kurtosis(x),4801719
skew4(x),7425197
mean(x),205874
kurt5(x),7757079
skewness(x),4861641
sd3(x),1088028
skewness(x),4294735
sd3(x),1111130
sd(x),372928
dumbk(x),10403436
sd(x),320309
mean(x),169208
skew4(x),6690243
skewness(x),3942515
sd(x),329843
mean(x),169612
mean(x),172182
sd3(x),1095971
sd(x),319480
dumbk(x),8427719
skewness(x),3838576
dumbk(x),8588704
skewness(x),19400304
skewness(x),3808089
kurt5(x),7486720
kurtosis(x),3813616
skew4(x),6569197
sd3(x),1031981
sd(x),330727
skewness(x),3800388
dumbk(x),8099816
skew4(x),6629665
kurtosis(x),3845182
mean(x),174894
sd(x),339076
skew4(x),6571573
skewness(x),3781622
sum(x),80577
kurtosis(x),3779170
mean(x),175318
sum(x),104439
sum(x),89429
skew4(x),6566071
dumbk(x),8078588
sd(x),333197
skewness(x),3794048
skewness(x),3769877
skewness(x),3778070
skewness(x),3998573
sd(x),572171
kurt5(x),7636952
sum(x),81667
mean(x),175584
skew4(x),6458029
kurt5(x),7419565
sd3(x),1032405
sd3(x),1029625
skew4(x),6630766
kurtosis(x),3786719
skewness(x),3793905
kurt5(x),7553225
sum(x),81164
kurtosis(x),3805404
sd(x),333556
kurtosis(x),3790984
dumbk(x),8058513
kurt5(x),7613824
skew4(x),6568927
sum(x),81796
mean(x),191248
mean(x),162990
sum(x),80015
dumbk(x),8043938
skew4(x),6540766
kurt5(x),7708925
skewness(x),3924919
dumbk(x),15131327
kurt5(x),9296806
mean(x),676767
dumbk(x),10501251
sd3(x),1150146
skew4(x),6738899
skewness(x),3898846
kurt5(x),7708830
mean(x),191945
kurtosis(x),3852598
kurtosis(x),3867888
dumbk(x),8237936
dumbk(x),8155175
sd3(x),1025107
skewness(x),3800850
sum(x),80664
skew4(x),6646405
dumbk(x),8778418
skew4(x),6852943
sd3(x),1045343
sum(x),81312
kurt5(x),7515554
sum(x),80132
skew4(x),6818012
kurt5(x),7643040
skewness(x),4005321
dumbk(x),8158304
dumbk(x),8166192
sd(x),325898
kurt5(x),7625381
sd(x),307762
kurtosis(x),3833190
kurtosis(x),3826201
kurtosis(x),3831033
sd(x),323523
sd3(x),1051363
sum(x),81061
kurt5(x),7586594
sd(x),309357
skewness(x),3810591
sum(x),80176
kurt5(x),7617821
skewness(x),3885723
kurtosis(x),3759864
mean(x),193093
kurt5(x),7624278
dumbk(x),8192232
dumbk(x),8259914
kurtosis(x),3813982
sd(x),316997
skewness(x),3827284
kurtosis(x),4526474
kurtosis(x),3804689
mean(x),164772
kurtosis(x),3865568
skew4(x),6742041
sum(x),80762
sd(x),332885
sum(x),91195
sd(x),342988
sd3(x),1038952
skew4(x),6652728
sum(x),90092
skewness(x),3797884
mean(x),163676
sd(x),337183
kurtosis(x),3813968
dumbk(x),8068303
mean(x),162821
kurtosis(x),3826186
kurt5(x),7478498
sd3(x),1015740
sd3(x),1010980
sum(x),80796
skewness(x),3759753
skewness(x),3717993
sd3(x),1017674
kurtosis(x),3749742
sum(x),91534
sum(x),79940
sum(x),79837
sd3(x),1018725
mean(x),167310
kurtosis(x),3712616
kurtosis(x),3707634
dumbk(x),8095914
mean(x),167591
kurt5(x),7346545
sum(x),81318
skew4(x),6428635
skew4(x),6408149
skew4(x),6448706
kurt5(x),7371203
sd3(x),1013398
kurtosis(x),3757021
dumbk(x),7891404
sd(x),312376
kurtosis(x),3703723
sd3(x),1023192
sd3(x),1031205
dumbk(x),7954167
kurt5(x),7410419
sd3(x),1069589
skewness(x),3727811
skew4(x),6438713
skew4(x),6410044
sd(x),325015
skew4(x),7115487
sum(x),95974
skewness(x),4267421
sd3(x),1194367
mean(x),297004
sd3(x),1485102
skewness(x),4887157
sd(x),387972
sd(x),393396
sum(x),80719
sd3(x),1040439
sd3(x),1042964
sd(x),339050
skewness(x),3924226
skew4(x),6603416
dumbk(x),8085462
sum(x),80955
dumbk(x),8431324
skew4(x),6608991
sum(x),80624
dumbk(x),8277815
skew4(x),6788687
dumbk(x),8146738
sd3(x),1063234
sd(x),356716
mean(x),164037
skew4(x),6662048
sd(x),309011
dumbk(x),8466248
sum(x),80853
sd(x),335197
sd(x),307509
skewness(x),3786865
skew4(x),6638148
kurt5(x),7606317
skew4(x),6574578
skewness(x),3803712
mean(x),173503
skewness(x),3780202
kurt5(x),7658792
skew4(x),6595335
sd(x),326734
sd(x),303191
mean(x),189419
sum(x),80742
dumbk(x),8038163
kurtosis(x),3764725
kurtosis(x),3788819
sd(x),344055
sd(x),306721
sum(x),80806
sd3(x),1041748
kurt5(x),7479333
sd3(x),1042857
sd3(x),1038913
sum(x),80099
kurtosis(x),3824973
sd(x),339672
skew4(x),6534449
mean(x),179213
sum(x),90056
kurtosis(x),3796874
kurtosis(x),3769746
sum(x),80347
sd(x),342933
sd(x),319572
kurtosis(x),3793799
mean(x),164434
kurtosis(x),3789624
mean(x),163425
mean(x),182565
skewness(x),3765422
kurt5(x),7670975
kurtosis(x),4916399
skewness(x),6460591
sum(x),257803
sd(x),829177
mean(x),405298
kurt5(x),7786560
sd(x),369814
sd(x),338146
sd(x),311946
sd3(x),1038158
kurt5(x),7592371
sd3(x),1033385
skew4(x),6577506
kurt5(x),7783590
kurtosis(x),3986209
skew4(x),6941838
skew4(x),6760315
skewness(x),3991665
dumbk(x),8414117
sum(x),83035
kurt5(x),7784648
skew4(x),6753076
kurtosis(x),4086107
skew4(x),6579463
sd3(x),1043935
sd3(x),1030432
kurt5(x),7460537
kurtosis(x),3994787
skew4(x),6541523
kurtosis(x),3825529
skew4(x),7046605
kurt5(x),7569238
sd(x),352282
kurtosis(x),3951178
skew4(x),6853564
mean(x),171171
kurt5(x),7500499
sd3(x),1053817
skewness(x),3940504
skewness(x),3807018
sum(x),80448
dumbk(x),8248168
kurt5(x),7475241
sd(x),330708
sd3(x),1032811
skewness(x),3806622
kurt5(x),7463012
dumbk(x),8127068
skew4(x),6516436
skewness(x),3864307
skewness(x),3711796
mean(x),166796
dumbk(x),7923173
dumbk(x),8205873
dumbk(x),8206200
skew4(x),6567341
sum(x),95094
sd3(x),1042110
skewness(x),3771808
sum(x),80087
dumbk(x),8115273
kurtosis(x),3931071
skewness(x),3792162
skewness(x),3773525
kurtosis(x),3842944
kurtosis(x),3778054
kurt5(x),7472377
mean(x),168940
sd(x),331408
skew4(x),6444402
skew4(x),6434961
kurtosis(x),3866226
dumbk(x),7897652
